Variable,Mean,Min,Max,SD,Grid,N
Normal_LST,31.06,22.89,43.53,2.79,120,29283
Extreme_LST,41.63,28.99,56.55,4.46,120,29283
HR_LST,-10.57,-15.41,-3.64,1.97,120,29283
BHV,4.41,0.0,103.94,7.92,120,29283
BCR,11.0,0.0,59.63,12.79,120,29283
SVF,0.86,0.47,1.0,0.11,120,29283
NDVI,0.15,-0.06,0.43,0.09,120,29283
EV,48.03,5.0,576.31,59.07,120,29283
WR,5.94,0.0,100.0,22.3,120,29283
Dist_P,0.8,0.0,4.42,0.75,120,29283
Dist_W,1.38,0.0,6.53,1.2,120,29283
Dist_M,2.33,0.0,10.21,2.15,120,29283
Normal_LST,31.05,23.27,40.23,2.69,240,7338
Extreme_LST,41.61,29.27,53.22,4.32,240,7338
HR_LST,-10.56,-15.27,-4.21,1.91,240,7338
BHV,7.13,0.0,210.45,9.15,240,7338
BCR,14.19,0.0,51.94,13.24,240,7338
SVF,0.86,0.52,1.0,0.1,240,7338
NDVI,0.15,-0.06,0.36,0.08,240,7338
EV,48.07,5.0,544.83,58.68,240,7338
WR,6.13,0.0,100.0,21.81,240,7338
Dist_P,0.81,0.0,4.34,0.75,240,7338
Dist_W,1.38,0.0,6.51,1.2,240,7338
Dist_M,2.33,0.0,10.13,2.15,240,7338
Normal_LST,31.04,24.14,38.86,2.51,480,1861
Extreme_LST,41.57,29.94,51.21,4.04,480,1861
HR_LST,-10.54,-14.51,-5.35,1.78,480,1861
BHV,8.7,0.0,96.99,8.32,480,1861
BCR,16.21,0.0,45.4,12.79,480,1861
SVF,0.86,0.61,1.0,0.08,480,1861
NDVI,0.15,-0.05,0.35,0.08,480,1861
EV,48.42,5.0,494.49,58.19,480,1861
WR,6.16,0.0,100.0,20.44,480,1861
Dist_P,0.81,0.0,4.25,0.75,480,1861
Dist_W,1.38,0.0,6.45,1.2,480,1861
Dist_M,2.33,0.0,9.97,2.15,480,1861
