Feature,Coefficient,t-value,p-value
const,37.4249***,44.687,0.0
BCR(%),0.0267***,6.095,0.0
BHV,0.0033,0.751,0.453
NDVI,-27.5380***,-42.314,0.0
SVF,7.7807***,13.792,0.0
EV(m),-0.0122***,-9.833,0.0
Dist_BP,-0.0881,-1.025,0.3056
Dist_MT,0.0103,0.198,0.8427
Dist_WB,-0.2168**,-2.931,0.0034
WR(%),-0.1727***,-71.27,0.0
W_BCR(%),-0.0011,-0.103,0.9181
W_BHV,0.0098,0.868,0.3852
W_NDVI,-2.9640,-1.605,0.1084
W_SVF,0.9387,1.258,0.2083
W_EV(m),-0.0021,-0.737,0.4614
W_WR(%),-0.0292***,-4.014,0.0001
rho,0.8250***,48.169,0.0
Log-likelihood,-1962.849,,
R²,0.9218,,
