Feature,Coefficient,t-value,p-value
const,30.1599***,34.555,0.0
BCR(%),0.0448***,8.652,0.0
BHV,0.0154**,3.017,0.0026
NDVI,-26.2233***,-33.871,0.0
SVF,10.7982***,16.404,0.0
EV(m),-0.0125***,-8.492,0.0
Dist_BP,-0.0776*,-2.053,0.0401
Dist_MT,-0.0106,-0.713,0.476
Dist_WB,-0.1100***,-4.417,0.0
WR(%),-0.1693***,-59.227,0.0
W_BCR(%),-0.1046***,-14.022,0.0
W_BHV,-0.1183***,-14.026,0.0
W_NDVI,12.8149***,10.667,0.0
W_SVF,-20.6142***,-21.673,0.0
W_EV(m),-0.0005,-0.274,0.7843
W_WR(%),0.0747***,12.914,0.0
rho,0.5751***,28.339,0.0
Log-likelihood,-2155.8695,,
R²,0.9489,,
