Year,Grid,Target,Model,AIC,BIC,LogLik,N
2016,480m,ext_2016,SDEM,4864.96,4991.06,-2416.48,1861
2016,480m,ext_2016,SDM,5405.57,5529.67,-2685.78,1861
2016,480m,hr_2016,SDEM,2274.79,2400.89,-1121.39,1861
2016,480m,hr_2016,SDM,2661.24,2785.34,-1313.62,1861
2016,480m,nor_2016,SDEM,4026.8,4152.9,-1997.4,1861
2016,480m,nor_2016,SDM,4412.6,4536.7,-2189.3,1861
2023,480m,ext_2023,SDEM,4215.37,4337.93,-2091.69,1572
2023,480m,ext_2023,SDM,4741.9,4862.46,-2353.95,1572
2023,480m,hr_2023,SDEM,2523.31,2645.87,-1245.66,1572
2023,480m,hr_2023,SDM,2537.9,2658.46,-1251.95,1572
2023,480m,nor_2023,SDEM,3957.7,4080.26,-1962.85,1572
2023,480m,nor_2023,SDM,4345.74,4466.3,-2155.87,1572
