Year,Grid,Target,Model,AIC,BIC,LogLik,N
2016,480m,ext_2016,SDEM,4862.72,4982.82,-2412.36,1861
2016,480m,ext_2016,SDM,5401.76,5519.86,-2680.88,1861
2016,480m,ext_2016,SEM,4923.29,4986.1,-2451.64,1861
2016,480m,ext_2016,SLM,5889.83,5950.65,-2933.92,1861
2016,480m,ext_2016,SLX,6049.6,6162.18,-3005.8,1861
2016,480m,hr_2016,SDEM,2275.04,2395.15,-1118.52,1861
2016,480m,hr_2016,SDM,2640.45,2758.55,-1300.22,1861
2016,480m,hr_2016,SEM,2329.49,2392.31,-1154.75,1861
2016,480m,hr_2016,SLM,3749.28,3810.1,-1863.64,1861
2016,480m,hr_2016,SLX,4263.35,4375.93,-2112.68,1861
2016,480m,nor_2016,SDEM,4020.09,4140.19,-1991.04,1861
2016,480m,nor_2016,SDM,4407.44,4525.55,-2183.72,1861
2016,480m,nor_2016,SEM,4054.13,4116.94,-2017.06,1861
2016,480m,nor_2016,SLM,4960.05,5020.87,-2469.02,1861
2016,480m,nor_2016,SLX,5033.65,5146.23,-2497.83,1861
2023,480m,ext_2023,SDEM,4214.4,4330.96,-2088.2,1572
2023,480m,ext_2023,SDM,4685.53,4800.09,-2322.77,1572
2023,480m,ext_2023,SEM,4254.87,4315.83,-2117.43,1572
2023,480m,ext_2023,SLM,5417.55,5476.51,-2697.78,1572
2023,480m,ext_2023,SLX,5880.87,5990.07,-2921.43,1572
2023,480m,hr_2023,SDEM,2523.15,2639.72,-1242.58,1572
2023,480m,hr_2023,SDM,2532.09,2646.65,-1246.04,1572
2023,480m,hr_2023,SEM,2535.15,2596.12,-1257.58,1572
2023,480m,hr_2023,SLM,2565.26,2624.22,-1271.63,1572
2023,480m,hr_2023,SLX,5163.81,5273.01,-2562.91,1572
2023,480m,nor_2023,SDEM,3961.71,4078.28,-1961.86,1572
2023,480m,nor_2023,SDM,4310.34,4424.9,-2135.17,1572
2023,480m,nor_2023,SEM,3979.67,4040.63,-1979.84,1572
2023,480m,nor_2023,SLM,4717.42,4776.38,-2347.71,1572
2023,480m,nor_2023,SLX,4898.05,5007.25,-2430.02,1572
