Year,Grid,Target,Model,AIC,BIC,LogLik,N
2016,480m,ext_2016,SDEM,4875.04,4961.97,-2424.52,1861
2016,480m,ext_2016,SDM,5455.58,5540.52,-2713.79,1861
2016,480m,ext_2016,SEM,4922.44,4968.67,-2454.22,1861
2016,480m,ext_2016,SLM,5926.54,5970.77,-2955.27,1861
2016,480m,ext_2016,SLX,6082.57,6161.97,-3028.28,1861
2016,480m,hr_2016,SDEM,2290.04,2376.97,-1132.02,1861
2016,480m,hr_2016,SDM,2714.24,2799.18,-1343.12,1861
2016,480m,hr_2016,SEM,2331.0,2377.23,-1158.5,1861
2016,480m,hr_2016,SLM,3905.7,3949.93,-1944.85,1861
2016,480m,hr_2016,SLX,4460.04,4539.44,-2217.02,1861
2016,480m,nor_2016,SDEM,4024.97,4111.91,-1999.49,1861
2016,480m,nor_2016,SDM,4412.0,4496.94,-2192.0,1861
2016,480m,nor_2016,SEM,4051.32,4097.55,-2018.66,1861
2016,480m,nor_2016,SLM,4976.12,5020.36,-2480.06,1861
2016,480m,nor_2016,SLX,5052.32,5131.72,-2513.16,1861
2023,480m,ext_2023,SDEM,4227.49,4311.89,-2100.75,1572
2023,480m,ext_2023,SDM,4758.7,4841.1,-2365.35,1572
2023,480m,ext_2023,SEM,4266.13,4311.01,-2126.06,1572
2023,480m,ext_2023,SLM,5422.51,5465.4,-2703.26,1572
2023,480m,ext_2023,SLX,5904.5,5981.54,-2939.25,1572
2023,480m,hr_2023,SDEM,2533.43,2617.83,-1253.71,1572
2023,480m,hr_2023,SDM,2534.96,2617.36,-1253.48,1572
2023,480m,hr_2023,SEM,2546.79,2591.67,-1266.39,1572
2023,480m,hr_2023,SLM,2567.5,2610.38,-1275.75,1572
2023,480m,hr_2023,SLX,5272.48,5349.52,-2623.24,1572
2023,480m,nor_2023,SDEM,3962.86,4047.26,-1968.43,1572
2023,480m,nor_2023,SDM,4373.0,4455.4,-2172.5,1572
2023,480m,nor_2023,SEM,3982.81,4027.69,-1984.4,1572
2023,480m,nor_2023,SLM,4760.04,4802.92,-2372.02,1572
2023,480m,nor_2023,SLX,4947.55,5024.59,-2460.77,1572
